X1,provinceID,cityID,districtID,validVote,invalidVote,totalVotes,voters,population,name,year,DPP_votes,DPP_elected,KMT_votes,KMT_elected,highest_vote,second_highest_vote,validVote_last,DPP_votes_last,DPP_elected_last,KMT_votes_last,KMT_elected_last,highest_vote_last,second_highest_vote_last,DPP_share,KMT_share,first_share,second_share,DPP_share_last,KMT_share_last,first_share_last,second_share_last,margin_2_DPP_pos,margin_2_KMT_pos,margin_all_DPP_pos,margin_all_KMT_pos,margin_2_DPP_pos_last,margin_2_KMT_pos_last,margin_all_DPP_pos_last,margin_all_KMT_pos_last
0,63,0,1,206924,3497,210421,275438,337659,臺北市第01選區,2020,107850,TRUE,83566,FALSE,107850,83566,188807,95951,TRUE,82649,FALSE,95951,82649,0.521205853356788,0.4038487560650287,0.521205853356788,0.4038487560650287,0.5081962003527412,0.4377433040088556,0.5081962003527412,0.4377433040088556,0.11735709729175936,-0.11735709729175936,0.11735709729175936,-0.11735709729175936,0.07045289634388557,-0.07045289634388557,0.07045289634388557,-0.07045289634388557
1,63,0,2,196683,5452,202135,265434,321161,臺北市第02選區,2020,123652,TRUE,68667,FALSE,123652,68667,181084,107366,TRUE,0,FALSE,107366,65967,0.6286867700818067,0.34912524214090696,0.6286867700818067,0.34912524214090696,0.59290715910848,0,0.59290715910848,0.3642895010050584,0.2795615279408998,-0.2795615279408998,0.2795615279408998,-0.2795615279408998,0.59290715910848,-0.59290715910848,0.2286176581034216,-0.59290715910848
2,63,0,3,219262,1681,220943,288875,350793,臺北市第03選區,2020,99539,FALSE,112784,TRUE,112784,99539,192089,0,FALSE,89673,TRUE,89673,73797,0.45397287263638936,0.5143800567357772,0.5143800567357772,0.45397287263638936,0,0.4668304796214255,0.4668304796214255,0.3841812909640844,-0.06040718409938789,0.06040718409938789,-0.06040718409938789,0.06040718409938789,-0.4668304796214255,0.4668304796214255,-0.4668304796214255,0.08264918865734111
3,63,0,4,249658,2701,252359,324765,402232,臺北市第04選區,2020,125138,TRUE,118432,FALSE,125138,118432,214700,0,FALSE,89612,TRUE,89612,85600,0.5012376931642487,0.4743769476644049,0.5012376931642487,0.4743769476644049,0,0.41738239403819283,0.41738239403819283,0.39869585468095015,0.026860745499843797,-0.026860745499843797,0.026860745499843797,-0.026860745499843797,-0.41738239403819283,0.41738239403819283,-0.41738239403819283,0.018686539357242682
4,63,0,5,182245,2878,185123,244748,300180,臺北市第05選區,2020,0,FALSE,76437,FALSE,81853,76437,166895,0,FALSE,76079,FALSE,82650,76079,0,0.4194189140991522,0.44913715053910946,0.4194189140991522,0,0.45584948620390064,0.4952215464813206,0.45584948620390064,-0.4194189140991522,0.4194189140991522,-0.44913715053910946,-0.029718236439957246,-0.45584948620390064,0.45584948620390064,-0.4952215464813206,-0.03937206027741996
5,63,0,6,178931,3543,182474,243908,306446,臺北市第06選區,2020,75718,FALSE,93785,TRUE,93785,75718,160560,0,FALSE,74015,TRUE,74015,56766,0.42316870749059693,0.5241405905069552,0.5241405905069552,0.42316870749059693,0,0.46098031888390634,0.46098031888390634,0.35355007473841554,-0.10097188301635823,0.10097188301635823,-0.10097188301635823,0.10097188301635823,-0.46098031888390634,0.46098031888390634,-0.46098031888390634,0.1074302441454908
6,63,0,7,183843,2219,186062,244536,297466,臺北市第07選區,2020,79057,FALSE,85082,TRUE,85082,79057,165280,0,FALSE,74455,TRUE,74455,69882,0.43002453180159156,0.4627970605353481,0.4627970605353481,0.43002453180159156,0,0.45047797676669893,0.45047797676669893,0.42280977734753145,-0.03277252873375652,0.03277252873375652,-0.03277252873375652,0.03277252873375652,-0.45047797676669893,0.45047797676669893,-0.45047797676669893,0.027668199419167483
7,63,0,8,192834,2920,195754,254363,312392,臺北市第08選區,2020,67470,FALSE,96377,TRUE,96377,67470,168893,0,FALSE,83931,TRUE,83931,60459,0.3498864308161424,0.49979256770071667,0.49979256770071667,0.3498864308161424,0,0.49694777166608445,0.49694777166608445,0.3579722072554813,-0.14990613688457427,0.14990613688457427,-0.14990613688457427,0.14990613688457427,-0.49694777166608445,0.49694777166608445,-0.49694777166608445,0.13897556441060316
8,65,0,1,257308,4278,261586,355104,439454,新北市第01選區,2020,110162,FALSE,119401,TRUE,119401,110162,206924,110243,TRUE,84582,FALSE,110243,84582,0.4281328213658339,0.4640392059321902,0.4640392059321902,0.4281328213658339,0.5327704857822195,0.40875877133633604,0.5327704857822195,0.40875877133633604,-0.03590638456635631,0.03590638456635631,-0.03590638456635631,0.03590638456635631,0.12401171444588349,-0.12401171444588349,0.12401171444588349,-0.12401171444588349
9,65,0,2,212592,3897,216489,288592,355150,新北市第02選區,2020,132591,TRUE,77625,FALSE,132591,77625,179356,123299,TRUE,56057,FALSE,123299,56057,0.6236876270038383,0.36513603522239785,0.6236876270038383,0.36513603522239785,0.6874540020963893,0.3125459979036107,0.6874540020963893,0.3125459979036107,0.25855159178144044,-0.25855159178144044,0.25855159178144044,-0.25855159178144044,0.3749080041927786,-0.3749080041927786,0.3749080041927786,-0.3749080041927786
10,65,0,3,196702,3400,200102,262709,314369,新北市第03選區,2020,90022,TRUE,0,FALSE,90022,63832,177028,96557,TRUE,62723,FALSE,96557,62723,0.4576567599719372,0,0.4576567599719372,0.32451118951510405,0.5454334907472265,0.35431118241182186,0.5454334907472265,0.35431118241182186,0.4576567599719372,-0.4576567599719372,0.13314557045683317,-0.4576567599719372,0.1911223083354046,-0.1911223083354046,0.1911223083354046,-0.1911223083354046
11,65,0,4,216675,5259,221934,293428,363644,新北市第04選區,2020,119461,TRUE,80455,FALSE,119461,80455,185313,116723,TRUE,54487,FALSE,116723,54487,0.5513372562593747,0.37131648782739124,0.5513372562593747,0.37131648782739124,0.6298694640958811,0.2940268626593925,0.6298694640958811,0.2940268626593925,0.18002076843198345,-0.18002076843198345,0.18002076843198345,-0.18002076843198345,0.3358426014364886,-0.3358426014364886,0.3358426014364886,-0.3358426014364886
12,65,0,5,186286,2787,189073,251452,312761,新北市第05選區,2020,106368,TRUE,77919,FALSE,106368,77919,164381,92237,TRUE,67014,FALSE,92237,67014,0.5709929892745563,0.41827619896288504,0.5709929892745563,0.41827619896288504,0.5611171607424216,0.4076748529331249,0.5611171607424216,0.4076748529331249,0.1527167903116713,-0.1527167903116713,0.1527167903116713,-0.1527167903116713,0.15344230780929669,-0.15344230780929669,0.15344230780929669,-0.15344230780929669
13,65,0,6,162346,2885,165231,216250,262823,新北市第06選區,2020,88236,TRUE,69178,FALSE,88236,69178,146775,77223,TRUE,58050,FALSE,77223,58050,0.5435058455397731,0.42611459475441343,0.5435058455397731,0.42611459475441343,0.5261318344404701,0.3955033214103219,0.5261318344404701,0.3955033214103219,0.11739125078535967,-0.11739125078535967,0.11739125078535967,-0.11739125078535967,0.13062851303014816,-0.13062851303014816,0.13062851303014816,-0.13062851303014816
14,65,0,7,176295,2455,178750,233095,289365,新北市第07選區,2020,82764,TRUE,70659,FALSE,82764,70659,153966,82544,TRUE,61345,FALSE,82544,61345,0.4694631158002212,0.40079979579681785,0.4694631158002212,0.40079979579681785,0.536118363794604,0.398432121377447,0.536118363794604,0.398432121377447,0.06866332000340336,-0.06866332000340336,0.06866332000340336,-0.06866332000340336,0.137686242417157,-0.137686242417157,0.137686242417157,-0.137686242417157
15,65,0,8,214055,4328,218383,285606,340678,新北市第08選區,2020,101068,TRUE,95471,FALSE,101068,95471,187345,100543,TRUE,75738,FALSE,100543,75738,0.47215902454976527,0.4460115390904207,0.47215902454976527,0.4460115390904207,0.5366729829992795,0.4042701966959353,0.5366729829992795,0.4042701966959353,0.026147485459344588,-0.026147485459344588,0.026147485459344588,-0.026147485459344588,0.13240278630334418,-0.13240278630334418,0.13240278630334418,-0.13240278630334418
16,65,0,9,180998,4203,185201,241303,288725,新北市第09選區,2020,68206,FALSE,102108,TRUE,102108,68206,157822,0,FALSE,82761,TRUE,82761,46660,0.3768328931811401,0.5641388302633178,0.5641388302633178,0.3768328931811401,0,0.5243945710990863,0.5243945710990863,0.29564952921645904,-0.1873059370821777,0.1873059370821777,-0.1873059370821777,0.1873059370821777,-0.5243945710990863,0.5243945710990863,-0.5243945710990863,0.22874504188262723
17,65,0,10,206970,2911,209881,282441,346775,新北市第10選區,2020,92665,TRUE,73686,FALSE,92665,73686,175810,102854,TRUE,67619,FALSE,102854,67619,0.44772189206165147,0.35602261197274965,0.44772189206165147,0.35602261197274965,0.5850292929867471,0.3846140720095558,0.5850292929867471,0.3846140720095558,0.09169928008890182,-0.09169928008890182,0.09169928008890182,-0.09169928008890182,0.20041522097719133,-0.20041522097719133,0.20041522097719133,-0.20041522097719133
18,65,0,11,213668,5158,218826,291485,341103,新北市第11選區,2020,73755,FALSE,124714,TRUE,124714,73755,184226,67777,FALSE,93962,TRUE,93962,67777,0.3451850534474044,0.5836812250781587,0.5836812250781587,0.3451850534474044,0.3679013819981979,0.5100365854982467,0.5100365854982467,0.3679013819981979,-0.23849617163075426,0.23849617163075426,-0.23849617163075426,0.23849617163075426,-0.14213520350004882,0.14213520350004882,-0.14213520350004882,0.14213520350004882
19,65,0,12,186032,2584,188616,259761,305117,新北市第12選區,2020,84393,TRUE,81613,FALSE,84393,81613,156266,0,FALSE,68318,FALSE,80508,68318,0.45364775952524294,0.4387040939193257,0.45364775952524294,0.4387040939193257,0,0.43719043169979394,0.5151984436793672,0.43719043169979394,0.014943665605917256,-0.014943665605917256,0.014943665605917256,-0.014943665605917256,-0.43719043169979394,0.43719043169979394,-0.5151984436793672,-0.07800801197957324
20,68,0,1,227105,3528,230633,311150,397712,桃園市第01選區,2020,104735,TRUE,97787,FALSE,104735,97787,181899,85955,TRUE,80142,FALSE,85955,80142,0.46117434666784085,0.43058056845952314,0.46117434666784085,0.43058056845952314,0.47254245487880636,0.44058515989642605,0.47254245487880636,0.44058515989642605,0.030593778208317712,-0.030593778208317712,0.030593778208317712,-0.030593778208317712,0.03195729498238031,-0.03195729498238031,0.03195729498238031,-0.03195729498238031
21,68,0,2,216810,3407,220217,296132,371904,桃園市第02選區,2020,111963,TRUE,99281,FALSE,111963,99281,178988,89792,TRUE,76473,FALSE,89792,76473,0.5164106821641068,0.4579170702458374,0.5164106821641068,0.4579170702458374,0.5016649160837598,0.42725210628645494,0.5016649160837598,0.42725210628645494,0.058493611918269406,-0.058493611918269406,0.058493611918269406,-0.058493611918269406,0.07441280979730491,-0.07441280979730491,0.07441280979730491,-0.07441280979730491
22,68,0,3,211681,2765,214446,283912,359510,桃園市第03選區,2020,90148,FALSE,100463,TRUE,100463,90148,173345,77120,FALSE,77505,TRUE,77505,77120,0.42586722473911215,0.4745962084457273,0.4745962084457273,0.42586722473911215,0.44489313219302545,0.4471141365485015,0.4471141365485015,0.44489313219302545,-0.04872898370661516,0.04872898370661516,-0.04872898370661516,0.04872898370661516,-0.002221004355476064,0.002221004355476064,-0.002221004355476064,0.002221004355476064
23,68,0,4,209271,4088,213359,284490,363274,桃園市第04選區,2020,97316,FALSE,102763,TRUE,102763,97316,172666,86413,TRUE,86253,FALSE,86413,86253,0.46502382078740007,0.4910522719344773,0.4910522719344773,0.46502382078740007,0.5004633222522095,0.49953667774779054,0.5004633222522095,0.49953667774779054,-0.026028451147077247,0.026028451147077247,-0.026028451147077247,0.026028451147077247,9.266445044189275e-4,-9.266445044189275e-4,9.266445044189275e-4,-9.266445044189275e-4
24,68,0,5,201665,3003,204668,271396,340977,桃園市第05選區,2020,89629,FALSE,94218,TRUE,94218,89629,166358,70202,FALSE,72965,TRUE,72965,70202,0.4444449954131852,0.4672005553764907,0.4672005553764907,0.4444449954131852,0.42199353202130346,0.43860229144375384,0.43860229144375384,0.42199353202130346,-0.02275555996330547,0.02275555996330547,-0.02275555996330547,0.02275555996330547,-0.01660875942245038,0.01660875942245038,-0.01660875942245038,0.01660875942245038
