year,election,margin_pr_interval_by_year,avg_turnout
2008,presidential,5,71.98693846000798
2008,presidential,15,75.68890279930146
2008,presidential,25,75.6465065216583
2008,presidential,35,76.02614152511684
2008,presidential,45,75.59116905551969
2008,presidential,55,75.65258238965978
2008,presidential,65,75.06601958194693
2008,presidential,75,74.47109523091945
2008,presidential,85,73.69280798392279
2008,presidential,95,73.09564066544279
2010,mayoral,5,67.11740085636644
2010,mayoral,15,65.95635111350391
2010,mayoral,25,66.03339038169749
2010,mayoral,35,67.6236122558794
2010,mayoral,45,68.92296686468543
2010,mayoral,55,70.29062003175261
2010,mayoral,65,71.34846600685475
2010,mayoral,75,71.23322105830475
2010,mayoral,85,72.25376033130576
2010,mayoral,95,73.1737227987048
2012,presidential,5,68.61408387609548
2012,presidential,15,73.40190903950268
2012,presidential,25,73.72951485329611
2012,presidential,35,73.83589180771601
2012,presidential,45,74.30559909428868
2012,presidential,55,73.92885011212132
2012,presidential,65,73.76793786381471
2012,presidential,75,73.65800669152053
2012,presidential,85,73.21387323430396
2012,presidential,95,72.54859298412575
2014,mayoral,5,70.8666296817319
2014,mayoral,15,68.57821025271271
2014,mayoral,25,68.57436291185539
2014,mayoral,35,68.39625675539402
2014,mayoral,45,69.91637404569512
2014,mayoral,55,70.78874982681886
2014,mayoral,65,70.87354268978925
2014,mayoral,75,71.3440729161719
2014,mayoral,85,70.23692768839723
2014,mayoral,95,72.18478453906594
2016,presidential,5,60.23550162295812
2016,presidential,15,64.84044271654446
2016,presidential,25,65.30750121680234
2016,presidential,35,65.92870615669013
2016,presidential,45,66.44522654874179
2016,presidential,55,66.66949953949447
2016,presidential,65,66.80092760611186
2016,presidential,75,66.2895788577413
2016,presidential,85,66.1395396489862
2016,presidential,95,65.88982132767421
2018,mayoral,5,71.51576880770142
2018,mayoral,15,68.76059877620474
2018,mayoral,25,68.89435275633873
2018,mayoral,35,69.14650360335631
2018,mayoral,45,69.4451958971984
2018,mayoral,55,69.36879176636349
2018,mayoral,65,69.50578573500282
2018,mayoral,75,68.83685371788675
2018,mayoral,85,69.21039094111465
2018,mayoral,95,71.2058259780299
2020,presidential,5,68.42930519938008
2020,presidential,15,73.47674638676978
2020,presidential,25,73.60167680341895
2020,presidential,35,74.20592093872747
2020,presidential,45,74.75449870121507
2020,presidential,55,74.60310033211042
2020,presidential,65,74.87844371781397
2020,presidential,75,74.73931307961172
2020,presidential,85,75.04520445914375
2020,presidential,95,74.21663552947656
